lat,lng,elev,city,county,state,full_address,date
40.459364,-106.821846,2059.93212891,Routt County,Colorado,United States,"Mt Werner Rd & US-40, Steamboat Springs, CO 80487, USA",Mar 2011
40.524472,-104.733112,1471.72473145,Eaton,Weld County,Colorado,"17110-17872 Collins St, Eaton, CO 80615, USA",Jul 2015
39.655261,-105.339143,2235.71777344,Evergreen,Jefferson County,Colorado,"29797-29979 Stagecoach Blvd, Evergreen, CO 80439, USA",Jun 2008
37.570894,-106.113446,2329.91601562,Monte Vista,Rio Grande County,Colorado,"1-65 E Co Rd 38, Monte Vista, CO 81144, USA",Sep 2012
40.448254,-104.85141,1444.43383789,Greeley,Weld County,Colorado,"30801 Co Rd 23, Greeley, CO 80631, USA",Sep 2007
37.698894,-105.543143,2432.28173828,Mosca,Alamosa County,Colorado,"8332 CO-150, Mosca, CO 81146, USA",Jul 2013
39.565879,-104.647563,1865.04431152,Parker,Elbert County,Colorado,"760 Co Rd 194, Parker, CO 80138, USA",Jul 2012
39.910698,-105.056481,1611.99694824,North Central Westminster,Westminster,Jefferson County,"11801-11827 Chase St, Westminster, CO 80020, USA",Jul 2012
40.050025,-105.908535,2556.40405273,Grand County,Colorado,United States,"Village Rd, Granby, CO 80446, USA",Oct 2012
39.282206,-108.941159,1424.97155762,Mack,Mesa County,Colorado,"568 S Rd, Mack, CO 81525, USA",Jul 2012
39.087248,-102.866347,1466.02734375,Seibert,Kit Carson County,Colorado,"2716-2798 Co Rd 16, Seibert, CO 80834, USA",Oct 2012
39.996037,-102.710068,1272.71679688,Yuma,Yuma County,Colorado,"29001-29999 CO-59, Yuma, CO 80759, USA",Oct 2007
39.260702,-102.874242,1446.02648926,Seibert,Kit Carson County,Colorado,"14500-16506 CO-59, Seibert, CO 80834, USA",Oct 2012
39.740943,-104.944218,1611.67468262,City Park,Denver,Denver County,"1522-1538 Garfield St, Denver, CO 80206, USA",Aug 2015
39.60365,-105.151494,1806.66015625,Summit Ridge at West Meadows,Littleton,Jefferson County,"13399 W Coal Mine Ave, Littleton, CO 80127, USA",Aug 2012
39.045154,-108.521569,1422.01086426,Grand Junction,Mesa County,Colorado,"276 Gill Creek Ct, Grand Junction, CO 81503, USA",Jul 2012
40.397589,-104.869831,1517.79943848,Greeley,Weld County,Colorado,"27022-27516 Co Rd 21, Greeley, CO 80634, USA",Jul 2015
40.401073,-104.869825,1520.96069336,Greeley,Weld County,Colorado,"27548-27672 Co Rd 21, Greeley, CO 80634, USA",Jul 2015
38.643987,-104.864542,2016.08666992,Rock Creek,Colorado Springs,El Paso County,"11526-12244 CO-115, Colorado Springs, CO 80926, USA",Aug 2015
40.456961,-103.301575,1246.99475098,Logan County,Colorado,United States,"I-76, Atwood, CO 80722, USA",Jul 2015
38.860762,-104.516919,1952.68786621,Peyton,El Paso County,Colorado,"1910 Slocum Rd, Peyton, CO 80831, USA",Jun 2008
40.514326,-104.735356,1469.22399902,Eaton,Weld County,Colorado,"35245 Co Rd 35, Eaton, CO 80615, USA",Oct 2007
39.33943,-105.121306,2204.88818359,Sedalia,Douglas County,Colorado,"1440-1598 CO-67, Sedalia, CO 80135, USA",Mar 2009
39.23847,-104.918674,2088.93310547,Larkspur,Douglas County,Colorado,"1798 Quartz Mountain Dr, Larkspur, CO 80118, USA",Sep 2007
40.017699,-105.207201,1596.12744141,Boulder,Boulder County,Colorado,"1959-2007 63rd St, Boulder, CO 80301, USA",Jun 2015
38.86183,-104.887821,1916.47192383,West Colorado Springs,Manitou Springs,El Paso County,"274-398 Via Linda Vista, Manitou Springs, CO 80829, USA",Sep 2015
37.574456,-106.112503,2330.52929688,Monte Vista,Rio Grande County,Colorado,"2900 Sherman Ave, Monte Vista, CO 81144, USA",Sep 2012
37.648349,-106.26961,2380.49804688,Monte Vista,Rio Grande County,Colorado,"6440-6798 W Co Rd 5 N, Monte Vista, CO 81144, USA",Oct 2012
39.04674,-108.516115,1416.64379883,Grand Junction,Mesa County,Colorado,"2896 C Rd, Grand Junction, CO 81503, USA",Jul 2012
39.337734,-105.12137,2225.8581543,Sedalia,Douglas County,Colorado,"1626-1648 CO-67, Sedalia, CO 80135, USA",Mar 2009
38.028804,-105.982638,2311.66186523,Saguache County,Colorado,United States,"Co Rd U60, Moffat, CO 81143, USA",Sep 2012
39.734794,-107.99816,2134.77514648,Rifle,Rio Blanco County,Colorado,"2042-2802 Co Rd 5, Rifle, CO 81650, USA",Oct 2012
38.991011,-108.269459,1973.73156738,Whitewater,Mesa County,Colorado,"4949-4999 Lands End Rd, Whitewater, CO 81527, USA",Oct 2008
40.259834,-104.923306,1493.22766113,Weld County,Colorado,United States,"17001-17999 Co Rd 15, Colorado, USA",Sep 2007
38.601077,-107.570862,2236.12915039,Crawford,Montrose County,Colorado,"81000-81434 CO-92, Crawford, CO 81415, USA",Sep 2012
40.735231,-105.127874,1617.82385254,Fort Collins,Larimer County,Colorado,"10216 Miners Lake Rd, Fort Collins, CO 80524, USA",Sep 2007
39.754101,-105.144473,1696.66430664,Applewood West,Golden,Jefferson County,"2571-2591 Beech Ct, Golden, CO 80401, USA",Jun 2012
40.049557,-105.25912,1640.56201172,North Boulder,Boulder,Boulder County,"4040 28th St, Boulder, CO 80301, USA",May 2015
40.631398,-105.36497,2183.20678711,Bellvue,Larimer County,Colorado,"4510-4916 Stove Prairie Rd, Bellvue, CO 80512, USA",Sep 2007
40.246886,-105.153851,1576.86486816,Longmont,Boulder County,Colorado,"8582 Yellowstone Rd, Longmont, CO 80503, USA",Oct 2009
40.151811,-103.584719,1311.30212402,Brush,Morgan County,Colorado,"10001-10773 CO-71, Brush, CO 80723, USA",Sep 2009
40.356189,-105.498573,2306.11474609,Estes Park,Larimer County,Colorado,"1513-1569 Creekside Ct, Estes Park, CO 80517, USA",Oct 2012
38.831858,-108.298212,1583.39685059,Delta County,Colorado,United States,"US-50, Delta, CO 81416, USA",Aug 2012
37.561641,-106.149487,2334.63964844,Monte Vista,Rio Grande County,Colorado,"744 CO-15, Monte Vista, CO 81144, USA",Sep 2012
39.277197,-103.469574,1689.0,Lincoln County,Colorado,United States,"US-24, Genoa, CO 80818, USA",Oct 2012
40.608332,-108.343464,1769.13708496,Maybell,Moffat County,Colorado,"45020 CO-318, Maybell, CO 81640, USA",Sep 2008
39.638504,-104.724822,1781.19702148,Arapahoe County,Colorado,United States,"E Quincy Ave, Aurora, CO 80018, USA",Aug 2012
40.181862,-104.146892,1406.64367676,Morgan County,Colorado,United States,"Co Rd M 5/10, Wiggins, CO 80654, USA",Aug 2012
39.117701,-104.743981,2274.37304688,Colorado Springs,El Paso County,Colorado,"19570 Twisted Pine Dr, Colorado Springs, CO 80908, USA",Sep 2011
40.351332,-105.503628,2342.93994141,Estes Park,Larimer County,Colorado,"1100-1198 Acacia Dr, Estes Park, CO 80517, USA",Oct 2012
38.850344,-103.456501,1517.35864258,Lincoln County,Colorado,United States,"CO-94, Karval, CO 80823, USA",Aug 2012
38.89862,-105.990561,2849.40698242,Buena Vista,Chaffee County,Colorado,"33600 US-24, Buena Vista, CO 81211, USA",Aug 2015
38.969791,-104.618586,2178.88964844,El Paso County,Colorado,United States,"Stapleton Dr, Peyton, CO 80831, USA",Sep 2011
40.744144,-102.994113,1188.72900391,Logan County,Colorado,United States,"I-76, Fleming, CO 80728, USA",Jun 2012
40.246883,-105.154185,1577.27294922,Longmont,Boulder County,Colorado,"8379-8599 Yellowstone Rd, Longmont, CO 80503, USA",Oct 2009
37.367919,-107.851487,2000.78942871,Durango,La Plata County,Colorado,"28561 US-550, Durango, CO 81301, USA",Dec 2007
