lat,lng,elev,full_address,date,base_filename
40.459364,-106.821846,2059.93212891,"Mt Werner Rd & US-40, Steamboat Springs, CO 80487, USA",Mar 2011,"data/lat_40.45936,long_-106.821_"
40.524472,-104.733112,1471.72473145,"17110-17872 Collins St, Eaton, CO 80615, USA",Jul 2015,"data/lat_40.52447,long_-104.733_"
39.655261,-105.339143,2235.71777344,"29797-29979 Stagecoach Blvd, Evergreen, CO 80439, USA",Jun 2008,"data/lat_39.65526,long_-105.339_"
37.570894,-106.113446,2329.91601562,"1-65 E Co Rd 38, Monte Vista, CO 81144, USA",Sep 2012,"data/lat_37.57089,long_-106.113_"
40.448254,-104.85141,1444.43383789,"30801 Co Rd 23, Greeley, CO 80631, USA",Sep 2007,"data/lat_40.44825,long_-104.851_"
37.698894,-105.543143,2432.28173828,"8332 CO-150, Mosca, CO 81146, USA",Jul 2013,"data/lat_37.69889,long_-105.543_"
39.565879,-104.647563,1865.04431152,"760 Co Rd 194, Parker, CO 80138, USA",Jul 2012,"data/lat_39.56587,long_-104.647_"
39.910698,-105.056481,1611.99694824,"11801-11827 Chase St, Westminster, CO 80020, USA",Jul 2012,"data/lat_39.91069,long_-105.056_"
40.050025,-105.908535,2556.40405273,"Village Rd, Granby, CO 80446, USA",Oct 2012,"data/lat_40.05002,long_-105.908_"
39.282206,-108.941159,1424.97155762,"568 S Rd, Mack, CO 81525, USA",Jul 2012,"data/lat_39.28220,long_-108.941_"
39.087248,-102.866347,1466.02734375,"2716-2798 Co Rd 16, Seibert, CO 80834, USA",Oct 2012,"data/lat_39.08724,long_-102.866_"
39.996037,-102.710068,1272.71679688,"29001-29999 CO-59, Yuma, CO 80759, USA",Oct 2007,"data/lat_39.99603,long_-102.710_"
39.260702,-102.874242,1446.02648926,"14500-16506 CO-59, Seibert, CO 80834, USA",Oct 2012,"data/lat_39.26070,long_-102.874_"
39.740943,-104.944218,1611.67468262,"1522-1538 Garfield St, Denver, CO 80206, USA",Aug 2015,"data/lat_39.74094,long_-104.944_"
39.60365,-105.151494,1806.66015625,"13399 W Coal Mine Ave, Littleton, CO 80127, USA",Aug 2012,"data/lat_39.60365,long_-105.151_"
39.045154,-108.521569,1422.01086426,"276 Gill Creek Ct, Grand Junction, CO 81503, USA",Jul 2012,"data/lat_39.04515,long_-108.521_"
